"Date","Open","High","Low","Close","Volume","Market Cap"
"05-11-2018",0.461444,0.497412,0.460769,0.497412,556519000,20102756984
"04-11-2018",0.455225,0.470722,0.449935,0.462691,429629000,18494536425
"03-11-2018",0.458899,0.459135,0.454453,0.455667,275311000,18494536425
"02-11-2018",0.456506,0.461451,0.455729,0.458685,401300000,18494536425
"01-11-2018",0.44862,0.456303,0.446069,0.455722,346501000,18494536425
"31-10-2018",0.445268,0.450401,0.43876,0.448382,367008000,18092481285
"30-10-2018",0.441968,0.448306,0.44088,0.444759,245858000,17690426145
"29-10-2018",0.461598,0.462128,0.437057,0.441514,341648000,17690426145
"28-10-2018",0.457169,0.463931,0.455456,0.462406,280005000,18494536425
"27-10-2018",0.459176,0.460376,0.455284,0.456348,211006000,18494536425
"26-10-2018",0.456961,0.460288,0.453618,0.459288,235514000,18494536425
"25-10-2018",0.45578,0.462766,0.452681,0.458052,273380000,18494536425
"24-10-2018",0.461505,0.46707,0.454497,0.457237,295115000,18398911823
"23-10-2018",0.45307,0.471596,0.439644,0.462058,445238000,18398911823
"22-10-2018",0.456089,0.458188,0.450583,0.453109,249302000,17998935479
"21-10-2018",0.458863,0.463629,0.455411,0.456694,262867000,18398911823
"20-10-2018",0.453936,0.461899,0.45107,0.459151,277061000,18398911823
"19-10-2018",0.457344,0.460625,0.450369,0.454178,303401000,17998935479
"18-10-2018",0.467653,0.474622,0.447294,0.457725,476876000,18398911823
"17-10-2018",0.469701,0.478521,0.460343,0.468197,526538000,18798888167
"16-10-2018",0.448066,0.47099,0.445319,0.470253,605102000,18798888167
"15-10-2018",0.401654,0.472133,0.396701,0.447316,1041470000,17998935479
"14-10-2018",0.418573,0.424992,0.40146,0.403286,289195000,15999053759
"13-10-2018",0.416294,0.425624,0.414515,0.418878,373875000,16799006447
"12-10-2018",0.379313,0.439544,0.378914,0.419115,820154000,16799006447
"11-10-2018",0.461497,0.461497,0.381614,0.38313,791202000,15199101071
"10-10-2018",0.479151,0.479151,0.459042,0.462387,412207000,18398911823
"09-10-2018",0.490604,0.491133,0.471116,0.479857,416867000,19168997036
"08-10-2018",0.484018,0.496593,0.479386,0.489751,540832000,19568351141
"07-10-2018",0.490268,0.490268,0.469887,0.482039,548645000,19168997036
"06-10-2018",0.519354,0.520882,0.470532,0.488082,672167000,19568351141
"05-10-2018",0.52753,0.530432,0.51032,0.519026,589636000,20766413456
"04-10-2018",0.528892,0.547161,0.52625,0.526606,621615000,21165767561
"03-10-2018",0.51722,0.536097,0.512269,0.528162,789229000,21165767561
"02-10-2018",0.577145,0.577145,0.518287,0.520837,743705000,20766413456
"01-10-2018",0.583511,0.602337,0.537349,0.576461,1412800000,23162538085
"30-09-2018",0.568045,0.618702,0.564195,0.581572,1329720000,23125126222
"29-09-2018",0.539412,0.587431,0.529954,0.571228,1034370000,22726417149
"28-09-2018",0.54303,0.548805,0.522197,0.539112,718255000,21530289931
"27-09-2018",0.516478,0.550922,0.513967,0.541381,824083000,21530289931
"26-09-2018",0.520288,0.566711,0.491498,0.516308,1821610000,20732871785
"25-09-2018",0.487622,0.546061,0.441519,0.526941,1639680000,21131580858
"24-09-2018",0.570614,0.580377,0.489646,0.494712,1034380000,19536744567
"23-09-2018",0.57522,0.595025,0.559651,0.570689,1043970000,22691169390
"22-09-2018",0.565468,0.609112,0.495737,0.570798,2411430000,22691169390
"21-09-2018",0.452836,0.76938,0.429052,0.561462,4101490000,22293078699
"20-09-2018",0.326441,0.477467,0.322347,0.449918,1291360000,17914081098
"19-09-2018",0.320324,0.334734,0.313853,0.326053,489609000,13136992805
"18-09-2018",0.271452,0.332653,0.27101,0.32186,600216000,12738902114
"17-09-2018",0.281545,0.283361,0.268184,0.272251,246489000,10748448659
"16-09-2018",0.281723,0.281846,0.276549,0.281166,197009000,11146539350
"15-09-2018",0.277006,0.283564,0.276765,0.282008,205361000,11146539350
"14-09-2018",0.281184,0.284941,0.273855,0.277159,269029000,11146539350
"13-09-2018",0.270783,0.284655,0.267846,0.280583,311799000,11119598668
"12-09-2018",0.263166,0.272626,0.255756,0.270087,298449000,10722470144
"11-09-2018",0.270167,0.274917,0.255917,0.26371,200330000,10325341621
"10-09-2018",0.280237,0.282113,0.26382,0.270321,204958000,10722470144
