"Date","Open","High","Low","Close","Volume","Market Cap"
"06-11-2018",209.47,218.45,207.89,218.45,1856940000,22509806855
"05-11-2018",207.1,210.82,206.57,209.09,1613510000,21540893856
"04-11-2018",200.16,211.27,198.99,207.49,1749300000,21371828848
"03-11-2018",200.74,200.74,199.53,200.19,1307150000,20615851076
"02-11-2018",198.98,201.27,198.75,200.63,1451870000,20482679355
"01-11-2018",197.54,203.75,197.33,198.87,1336700000,20471899882
"31-10-2018",197.65,198.34,196.53,197.38,1442380000,20314525207
"30-10-2018",197.2,198.12,196.35,197.56,1363500000,20328991627
"29-10-2018",205.17,205.6,195.73,197.25,1517230000,20293119917
"28-10-2018",204.51,205.92,203.52,205.37,1139140000,21124318787
"27-10-2018",203.36,206.08,203.13,204.21,1084810000,21000852986
"26-10-2018",202.34,204.78,201.55,203.33,1161310000,20906233654
"25-10-2018",203.87,204.13,201.82,202.72,1102900000,20839361864
"24-10-2018",204.13,205.58,203.35,203.85,1102220000,20951397461
"23-10-2018",204.02,205.15,201.91,204.34,1237490000,20997592900
"22-10-2018",205.17,206.93,203.38,204.04,1328980000,20962566341
"21-10-2018",205.39,208.16,204.62,205.14,1190300000,21071425351
"20-10-2018",203.51,206.22,203.09,205.43,1238780000,21097037288
"19-10-2018",203.26,204.66,201.84,203.73,1264480000,20918281422
"18-10-2018",207.4,208.47,201.74,203.35,1365860000,20875136033
"17-10-2018",210.22,211.13,205.93,207.08,1444130000,21253809828
"16-10-2018",209.63,212.17,207.98,210.12,1532280000,21561538445
"15-10-2018",195.27,222.12,194.16,209.7,2865830000,21514164081
"14-10-2018",199.69,201.83,195.24,195.72,1169260000,20074884133
"13-10-2018",196.36,201.28,196.36,199.84,1167610000,20494427219
"12-10-2018",188.71,199.4,188.71,196.73,1487900000,20171465375
"11-10-2018",225.61,225.61,189.28,189.5,2167620000,19426284231
"10-10-2018",227.62,227.71,224.5,225.77,1384040000,23139815562
"09-10-2018",229.71,230.16,226.4,227.98,1405130000,23361686457
"08-10-2018",226.51,230.76,224.56,229.25,1470740000,23488185260
"07-10-2018",225.44,226.37,223.0,226.12,1470480000,23161870406
